variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,0,0.11828477680683136,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,1,0.1459120661020279,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,2,0.134515643119812,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,3,0.14789684116840363,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,4,0.16383515298366547,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,5,0.14080464839935303,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale0,6,0.14875094592571259,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,0,0.13677307963371277,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,1,0.1747380793094635,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,2,0.13014505803585052,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,3,0.12474478781223297,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,4,0.10888161510229111,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,5,0.14859548211097717,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale0,6,0.17612187564373016,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,0,0.12414272874593735,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,1,0.12465542554855347,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,2,0.12716367840766907,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,3,0.17776061594486237,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,4,0.14112432301044464,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,5,0.09372814744710922,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale0,6,0.21142512559890747,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,0,0.17658795416355133,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,1,0.10920563340187073,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,2,0.15296031534671783,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,3,0.12005161494016647,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,4,0.11781367659568787,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,5,0.12166379392147064,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale1,6,0.20171701908111572,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,0,0.0974760353565216,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,1,0.17924652993679047,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,2,0.1672605276107788,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,3,0.16280561685562134,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,4,0.124984510242939,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,5,0.12925268709659576,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale1,6,0.138974130153656,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,0,0.14234839379787445,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,1,0.153203547000885,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,2,0.12252456694841385,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,3,0.17921876907348633,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,4,0.11347566545009613,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,5,0.18178795278072357,Case3009
srr_v2_capacity12_edema_t2_focus,1,edema_scale1,6,0.10744113475084305,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale2,0,0.13919781148433685,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale2,1,0.18536105751991272,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale2,2,0.13402752578258514,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale2,3,0.13138702511787415,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale2,4,0.12085485458374023,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale2,5,0.1594044715166092,Case3009
srr_v2_capacity12_edema_t2_focus,1,anatomy_scale2,6,0.12976720929145813,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale2,0,0.1370876133441925,Case3009
srr_v2_capacity12_edema_t2_focus,1,scar_scale2,1,0.15249639749526978,Case3009
