case_id,center,checkpoint_name,class_id,formal_variant,gt_voxels,lesion_wise_recall,memory_negative_similarity_mean,metric_name,modality_group,neg_similarity_mean,outside_myocardium_fp_ratio,pos_similarity_mean,proposal_component_count,proposal_gate_mean,proposal_gate_p95,proposal_precision,proposal_recall,proposal_remote_fp_count,proposal_small_fp_count,proposal_threshold,proposal_voxels,script_alias,source_path,t2_present,variant
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.05,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.1,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.2,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.3,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.4,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.5,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.6,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.7,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.8,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,4,anchored_srr_v25_full,0,,0.2635769248008728,myops_edema,LGE-only,0.26366424560546875,,-0.000279412284726277,0,2.06115324807854e-09,2.061153470123145e-09,,,0,0,0.9,0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
