case_rows,empty_prediction_rate,mean_baseline_dice,mean_dice,mean_dice_delta_vs_standard_nnunet,mean_hd95,mean_remote_fp_volume_mm3,pathology,seed,subgroup,variant,evidence_source
6,0.8333333333333334,0.5880109003023821,0.0,-0.5880109003023821,213.7011496719659,146.70455791032848,edema,20260724,high_baseline,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
44,0.0,0.5601692281262312,0.00813349645692629,-0.552035731669305,193.81521688330912,7717643.930171063,scar,20260724,all_cases,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
43,0.0,0.573196419478004,0.008322647537319925,-0.5648737719406842,193.81521688330912,7819979.027020971,scar,20260724,positive_gt,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
16,0.0,0.6933346102422654,0.010116019076024517,-0.683218591166241,202.85763728881082,5898837.096237345,scar,20260724,complete_trimodal,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
7,0.0,0.6131815991584469,0.009423802501072848,-0.6037577966573741,209.87002746202947,4832886.137305261,scar,20260724,CenterB,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
9,0.0,0.7556758410852354,0.010654409745431368,-0.7450214313398039,197.40355604297412,6727910.064295633,scar,20260724,CenterC,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
24,0.0,0.501789292579108,0.006286770255453299,-0.4955025223236546,188.70061454277402,9247933.81634663,scar,20260724,lge_only,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
4,0.0,0.3777873129448342,0.011283763189371337,-0.36650354975546284,186.50579344491413,5811131.948852539,scar,20260724,lge_c0,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
0,,,,,,,scar,20260724,small_scar,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
43,0.0,0.573196419478004,0.008322647537319925,-0.5648737719406842,193.81521688330912,7819979.027020971,scar,20260724,large_scar,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
14,0.0,0.32854785692224636,0.0061732125645076324,-0.3223746443577387,189.87601086146586,7525449.033579704,scar,20260724,low_baseline,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
30,0.0,0.6682592013547575,0.009048295606721662,-0.6592109057480359,195.52220615944123,7807334.881913697,scar,20260724,high_baseline,student_reliable_distill,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
44,0.6363636363636364,0.3944358976789887,0.2349168949452733,-0.1595190027337154,43.52241149280473,3428.6301498455973,edema,20260724,all_cases,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
16,0.0,0.3944358976789887,0.2349168949452733,-0.1595190027337154,119.68663160521302,9428.732912075393,edema,20260724,positive_gt,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
16,0.0,0.3944358976789887,0.2349168949452733,-0.1595190027337154,119.68663160521302,9428.732912075393,edema,20260724,complete_trimodal,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
7,0.0,0.5029744773313501,0.3926704625757899,-0.11030401475556016,93.98883891436833,8238.048066470834,edema,20260724,CenterB,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
9,0.0,0.3100170023938187,0.11221967567709365,-0.19779732671672498,139.6738036980922,10354.821125323382,edema,20260724,CenterC,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
24,1.0,,,,0.0,0.0,edema,20260724,lge_only,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
4,1.0,,,,0.0,0.0,edema,20260724,lge_c0,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
0,,,,,,,edema,20260724,small_scar,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
0,,,,,,,edema,20260724,large_scar,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
10,0.0,0.2782908961049526,0.10851709151039664,-0.16977380459455596,129.55260647036854,11116.96924255188,edema,20260724,low_baseline,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
6,0.0,0.5880109003023821,0.44558323400340094,-0.14242766629898115,103.24334016328713,6615.005694614579,edema,20260724,high_baseline,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
44,0.022727272727272728,0.5601692281262312,0.2069055525038208,-0.3662908669741832,94.13411637768571,6902.246471975759,scar,20260724,all_cases,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
43,0.0,0.573196419478004,0.2069055525038208,-0.3662908669741832,96.32328187484119,7062.763831789149,scar,20260724,positive_gt,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
16,0.0,0.6933346102422654,0.40345329225516524,-0.2898813179871002,88.63252784110821,5272.247548993979,scar,20260724,complete_trimodal,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
7,0.0,0.6131815991584469,0.3533595470924692,-0.2598220520659777,69.10867897860103,3258.4849866136688,scar,20260724,CenterB,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
9,0.0,0.7556758410852354,0.44241509404837326,-0.3132607470368621,103.81774362305822,6838.50731973422,scar,20260724,CenterC,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
24,0.0,0.501789292579108,0.09898891633436442,-0.4028003762447434,108.22332808572641,9081.879453475847,scar,20260724,lge_only,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
4,0.25,0.3777873129448342,0.021984029852301995,-0.481732387407477,31.605200275751592,344.44427490234375,scar,20260724,lge_c0,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
0,,,,,,,scar,20260724,small_scar,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
43,0.0,0.573196419478004,0.2069055525038208,-0.3662908669741832,96.32328187484119,7062.763831789149,scar,20260724,large_scar,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
14,0.07142857142857142,0.32854785692224636,0.08489192200700754,-0.26892884698618086,96.01306287428854,5840.929575731384,scar,20260724,low_baseline,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
30,0.0,0.6682592013547575,0.25977812571910663,-0.40848107563565084,93.25727467927105,7397.5276902231335,scar,20260724,high_baseline,teacher_full_view,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
