feature_source,task_id,probe_model,train_rows,eval_rows,train_cases,eval_cases,status,AUROC,AUPRC,balanced_accuracy,sensitivity,specificity,ECE,fold_id,pathology,evidence_source
CASE_VOLUME_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4765,1193,64,16,PASS,0.49894580599456884,0.4895065440156563,0.5014969554877123,0.6218057921635435,0.3811881188118812,0.010072924794985783,0,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4789,1169,64,16,PASS,0.517523111103295,0.49439999688846575,0.5223314516176307,0.5364120781527532,0.5082508250825083,0.018461195803316344,1,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4750,1208,64,16,PASS,0.49964499150172703,0.4949215846477758,0.49997532759471464,0.24749163879598662,0.7524590163934426,0.0002099082451664236,2,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4769,1189,64,16,PASS,0.5034279743093077,0.48843362443690436,0.5039504536650015,0.5667244367417678,0.4411764705882353,0.015083274125364976,3,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4759,1199,64,16,PASS,0.5016683921097159,0.4962124883861918,0.5005051095378039,0.6243654822335025,0.37664473684210525,0.007869914464243677,4,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4564,1126,64,16,PASS,0.53004569687738,0.4780144066920159,0.5265486164001016,0.7346153846153847,0.3184818481848185,0.03994938122820679,0,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4581,1109,64,16,PASS,0.5145759108714052,0.4675857562833211,0.523391007092757,0.47912524850894633,0.5676567656765676,0.04659090240258368,1,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4523,1167,64,16,PASS,0.49697000912381906,0.4768658587559791,0.4983120934749978,0.24416517055655296,0.7524590163934426,0.012420164709971537,2,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4544,1146,64,16,PASS,0.4997675023326246,0.46919132451185286,0.49770102635483426,0.5551401869158878,0.4402618657937807,0.033282825553382356,3,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,4548,1142,64,16,PASS,0.4936181746501084,0.46965387749216203,0.4937937364478612,0.6142322097378277,0.37335526315789475,0.033829380749091364,4,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4336,1120,64,16,PASS,0.5007865572549474,0.4622795789131038,0.500902133014858,0.4357976653696498,0.566006600660066,0.04459996417655959,0,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4392,1064,64,16,PASS,0.5367215760877397,0.4604323505074531,0.5141921397379913,0.5283842794759825,0.5,0.07001203776215859,1,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4358,1098,64,16,PASS,0.5132121741467347,0.45725480178591443,0.5135245901639345,0.5204918032786885,0.5065573770491804,0.05227084116635555,2,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4364,1092,64,16,PASS,0.5156503601675452,0.45481366104062093,0.5200159242712434,0.5343035343035343,0.5057283142389526,0.056952651147272604,3,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,4374,1082,64,16,PASS,0.4963531256939818,0.44063054563618775,0.4963774150566289,0.6835443037974683,0.3092105263157895,0.0634878904947268,4,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4800,1191,64,16,PASS,0.5126131843953626,0.4988794738693419,0.5088135736650587,0.6991452991452991,0.3184818481848185,0.010809445505484627,0,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4794,1197,64,16,PASS,0.5126917514086433,0.5021177640685928,0.5112956727144795,0.5126903553299492,0.5099009900990099,0.006496018637059009,1,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4785,1206,64,16,PASS,0.5080894487842447,0.4999872067322494,0.5053856309825063,0.2550335570469799,0.7557377049180328,0.0014421667448556441,2,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4787,1204,64,16,PASS,0.5053711800035329,0.49772149913798075,0.5049847641759406,0.5050675675675675,0.5049019607843137,0.008082774510853596,3,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P4_pure_edema_vs_normal_myocardium,logistic_regression,4798,1193,64,16,PASS,0.5028058929374719,0.4928457152356673,0.5020622469635627,0.6307692307692307,0.37335526315789475,0.010743453947661075,4,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4580,1167,64,16,PASS,0.5163428107516634,0.49130741675754047,0.5130733661601454,0.7076648841354723,0.3184818481848185,0.02303477475303517,0,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4607,1140,64,16,PASS,0.5178319798271962,0.48083914686782425,0.5124411317536248,0.5149812734082397,0.5099009900990099,0.031990225326986366,1,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4610,1137,64,16,PASS,0.5086571064173951,0.47440651583634896,0.5106961769371947,0.2656546489563567,0.7557377049180328,0.03029778977302844,2,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4594,1153,64,16,PASS,0.5002491227858269,0.46800192874208196,0.49965122809984236,0.559040590405904,0.4402618657937807,0.03013324876238993,3,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P5_nnunet_pure_edema_FN,logistic_regression,4597,1150,64,16,PASS,0.5157099679549426,0.4818411549125961,0.509355578753156,0.6420664206642066,0.37664473684210525,0.030490233152543345,4,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4586,1140,64,16,PASS,0.5236152828766023,0.4836382723275929,0.5187914858901621,0.7191011235955056,0.3184818481848185,0.03584462802194688,0,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4596,1130,64,16,PASS,0.5211277807170029,0.47876741841859694,0.5204822008918449,0.5954198473282443,0.44554455445544555,0.03688757792302294,1,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4596,1130,64,16,PASS,0.5053877679697352,0.4693161633165299,0.506998738965952,0.26153846153846155,0.7524590163934426,0.03152992611671512,2,pure_edema,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P6_nnunet_pure_edema_FP,logistic_regression,4570,1156,64,16,PASS,0.5088469796843796,0.47752247565197237,0.5072868961996426,0.5743119266055046,0.4402618657937807,0.029181155027252215,3,pure_edema,v4_patient_level_refold
