case_id,mode,source_fold,image_shape_zyx,availability_lge_t2_c0,source_probability_path,source_prediction_path,output_prediction_path,gt_path,model_forward_count,checkpoint_actual_load_count,prototype_memory_actual_load_count,memory_query_policy,raw_anchor_used_for_final_baseline,safety_context_used_for_srr_evidence,changed_voxels,raw_label_mismatch,anchor_identity_softmax_max_abs_delta,nonidentity_downstream_tensor_max_abs_delta,no_t2_case,no_t2_full_chain_exact_zero,geometry_matches_gt,output_sha256
Case1002,production_gate_open_bounded_control,0,"[9, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1002.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1002.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1002.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1002.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,3,0,,3.7449889183044434,True,True,True,3ce8074e654678ef1c55b4da434c89a7b2f31f0c0bdd63e73dd51d1724a6d3b8
Case1007,production_gate_open_bounded_control,0,"[24, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1007.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1007.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1007.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1007.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,11,0,,3.6956207752227783,True,True,True,6ad10118aa329cc47eb74855625b7fec33804293019a17c2e1b8f20012951f29
Case1009,production_gate_open_bounded_control,0,"[16, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1009.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1009.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1009.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1009.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,16,0,,3.7047009468078613,True,True,True,b7add733129cc1cadd758e83db548872f163cdb3e14b05494c7b4ac92c29b365
Case1010,production_gate_open_bounded_control,0,"[12, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1010.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1010.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1010.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1010.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,23,0,,3.732574939727783,True,True,True,2ba85e7672ffe62450e83b7b549e46c1f6e8749c47dcf9761839969882f6113d
Case1021,production_gate_open_bounded_control,0,"[12, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1021.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1021.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1021.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1021.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,10,0,,3.7597157955169678,True,True,True,49a762effea8bc359c463fa03c81b53826f5c35eb1a5aa73005cd4c5b0419813
Case1023,production_gate_open_bounded_control,0,"[21, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1023.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1023.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1023.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,35,0,,3.818828821182251,True,True,True,3fad5e7ad24f375e37982868a53782e872dd9057e7b6f1586f4c7f936a6a23dc
Case1029,production_gate_open_bounded_control,0,"[19, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1029.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1029.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,31,0,,3.7340402603149414,True,True,True,162feb4172f2eb0689bd0fa713ec569286b1bfaf81caec65b6c8e84fc1d26ed0
Case1033,production_gate_open_bounded_control,0,"[20, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1033.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1033.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1033.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1033.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,8,0,,3.7732858657836914,True,True,True,9beefb91e5e3aeeee1664d1d5dfd22f6c6c0338a783b44bd925790485b261846
Case1040,production_gate_open_bounded_control,0,"[12, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1040.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1040.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1040.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1040.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,11,0,,3.7656631469726562,True,True,True,ab49da0d1b1491cc7a1ace6230e42ac6468eadfa319f3333a1bed8e4ff0751f7
Case1042,production_gate_open_bounded_control,0,"[7, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1042.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1042.nii.gz,results/20260721_srr_batch5_post_batch4_diagnostic_repair/runtime/inference/production_gate_open_bounded_control/predictions/Case1042.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1042.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,9,0,,3.769418478012085,True,True,True,6489d9e1c17c61ba960d8c1daa11face1ab21aa2216e24d45f3f616c63278e7c
