case_id,mode,source_fold,source_prediction_path,output_prediction_path,gt_path,raw_label_mismatch,changed_voxels,byte_identical,geometry_matches_source,geometry_matches_gt,prediction_sha256,output_sha256
Case1002,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1002.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1002.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1002.nii.gz,0,0,True,True,True,3313bc4077c1f91438ddc16a42e9f7a3a6c1c4d8d10c79e212b06a90ccb991d4,3313bc4077c1f91438ddc16a42e9f7a3a6c1c4d8d10c79e212b06a90ccb991d4
Case1007,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1007.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1007.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1007.nii.gz,0,0,True,True,True,80edc8f9d9b58b7c4b38abd80c661abfe38581abf65b93d67fe9382e7b4d3ed5,80edc8f9d9b58b7c4b38abd80c661abfe38581abf65b93d67fe9382e7b4d3ed5
Case1009,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1009.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1009.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1009.nii.gz,0,0,True,True,True,5f427d14d2d66d3e7909627e827832850a9c9e0014d7e00bd510847f2afe30d1,5f427d14d2d66d3e7909627e827832850a9c9e0014d7e00bd510847f2afe30d1
Case1010,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1010.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1010.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1010.nii.gz,0,0,True,True,True,eca96b3cd4d72cbf98387e8c64f0745b05412d4186185f5e27a1bccaede49030,eca96b3cd4d72cbf98387e8c64f0745b05412d4186185f5e27a1bccaede49030
Case1021,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1021.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1021.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1021.nii.gz,0,0,True,True,True,7ba14be0726b5f981ca1c018443a85c831c615b6d75bc01a07193f686e562cd8,7ba14be0726b5f981ca1c018443a85c831c615b6d75bc01a07193f686e562cd8
Case1023,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1023.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1023.nii.gz,0,0,True,True,True,37c08a0ff19ef68acd3fd9a56b339373cee75e912e3bbe7904df288627bb2c72,37c08a0ff19ef68acd3fd9a56b339373cee75e912e3bbe7904df288627bb2c72
Case1029,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1029.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1029.nii.gz,0,0,True,True,True,12ae416adece95a2e52df0b450b3918255e71c2b620950b39e9ff5cce3ff0f4f,12ae416adece95a2e52df0b450b3918255e71c2b620950b39e9ff5cce3ff0f4f
Case1033,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1033.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1033.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1033.nii.gz,0,0,True,True,True,54e7a8c5cc571aab96022012998af488889e293f629c71c53cb6019ad255b43e,54e7a8c5cc571aab96022012998af488889e293f629c71c53cb6019ad255b43e
Case1040,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1040.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1040.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1040.nii.gz,0,0,True,True,True,e77c662f25a7f57baa728283d8cc1f96f05229451b42b495735a43e816cb3e31,e77c662f25a7f57baa728283d8cc1f96f05229451b42b495735a43e816cb3e31
Case1042,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1042.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1042.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1042.nii.gz,0,0,True,True,True,5e2209b90677c006fcbf37c6821a5ae021fb54c210b93a895354bb1a3c6d79bc,5e2209b90677c006fcbf37c6821a5ae021fb54c210b93a895354bb1a3c6d79bc
