pathology,center,observation_set,representer,beta_center,source_eligible,coefficient_source
scar,CenterA,lge_only,shared_anatomy,0.0010000000474974513,1,full_training_center_table
scar,CenterA,lge_only,lge_private,-0.0005000000237487257,1,full_training_center_table
scar,CenterA,lge_only,c0_private,0.0,0,full_training_center_table
scar,CenterA,lge_only,t2_private,0.0,0,full_training_center_table
scar,CenterA,lge_only,interaction_lge_c0,0.0,0,full_training_center_table
scar,CenterA,lge_only,interaction_lge_t2,0.0,0,full_training_center_table
scar,CenterA,lge_only,interaction_t2_c0,0.0,0,full_training_center_table
scar,CenterB,lge_t2_c0,shared_anatomy,0.0010000000474974513,1,full_training_center_table
scar,CenterB,lge_t2_c0,lge_private,-0.0005000000237487257,1,full_training_center_table
scar,CenterB,lge_t2_c0,c0_private,0.0006000000284984708,1,full_training_center_table
scar,CenterB,lge_t2_c0,t2_private,-0.0007000000332482159,1,full_training_center_table
scar,CenterB,lge_t2_c0,interaction_lge_c0,-0.0004000000189989805,1,full_training_center_table
scar,CenterB,lge_t2_c0,interaction_lge_t2,0.000800000037997961,1,full_training_center_table
scar,CenterB,lge_t2_c0,interaction_t2_c0,-0.0003000000142492354,1,full_training_center_table
scar,CenterC,lge_t2_c0,shared_anatomy,0.0010000000474974513,1,full_training_center_table
scar,CenterC,lge_t2_c0,lge_private,-0.0005000000237487257,1,full_training_center_table
scar,CenterC,lge_t2_c0,c0_private,0.0006000000284984708,1,full_training_center_table
scar,CenterC,lge_t2_c0,t2_private,-0.0007000000332482159,1,full_training_center_table
scar,CenterC,lge_t2_c0,interaction_lge_c0,-0.0004000000189989805,1,full_training_center_table
scar,CenterC,lge_t2_c0,interaction_lge_t2,0.000800000037997961,1,full_training_center_table
scar,CenterC,lge_t2_c0,interaction_t2_c0,-0.0003000000142492354,1,full_training_center_table
scar,CenterE,lge_c0,shared_anatomy,0.0010000000474974513,1,full_training_center_table
scar,CenterE,lge_c0,lge_private,-0.0005000000237487257,1,full_training_center_table
scar,CenterE,lge_c0,c0_private,0.0006000000284984708,1,full_training_center_table
scar,CenterE,lge_c0,t2_private,0.0,0,full_training_center_table
scar,CenterE,lge_c0,interaction_lge_c0,-0.0004000000189989805,1,full_training_center_table
scar,CenterE,lge_c0,interaction_lge_t2,0.0,0,full_training_center_table
