lane,fold,checkpoint_step,pathology,case_count,dice_mean,hd95_vox_mean,exact_hd_vox_mean,precision_mean,sensitivity_mean,lesion_recall_mean,small_lesion_recall_mean,remote_fp_count_sum,remote_fp_voxels_sum,blood_pool_adjacent_fp_count_sum,blood_pool_adjacent_fp_voxels_sum,pred_component_count_sum,gt_component_count_sum,volume_ratio_mean
m0r_faithful_control,2+3,500,scar,26,0.8102331773461604,3.799983368484293,9.836036985068718,0.8346391912268767,0.7968893074468512,1.0,1.0,12,367,405,10196,46,33,0.9684131609714263
m0r_faithful_control,2+3,500,pure_edema,26,0.625543199594342,7.011611431001949,17.33999567029937,0.5915437244436536,0.6980754903877274,0.6088372035204614,0.472378199286094,65,1707,945,20048,567,260,1.270473827848722
m0r_faithful_control,2+3,1000,scar,26,0.8389491423396938,4.270594345398674,9.935325408273078,0.8830958811341556,0.8073013160174262,1.0,1.0,7,1385,399,6741,44,33,0.9292403306649514
m0r_faithful_control,2+3,1000,pure_edema,26,0.6910277177689333,6.8399224293035275,14.377315837165396,0.6494779307303739,0.7765889595062876,0.6628180266189315,0.53387673729779,18,2105,767,17584,198,260,1.2836972744880362
m0r_faithful_control,2+3,1500,scar,26,0.8694636477492477,1.7751917589307704,5.001879163476312,0.8711878064532235,0.8777465709702426,1.0,1.0,1,2,532,8307,32,33,1.026290821031165
m0r_faithful_control,2+3,1500,pure_edema,26,0.7319770282633244,3.249202742882134,8.814670703527945,0.7715489802828249,0.7134617821869272,0.6010587075066713,0.4555306447938027,4,60,641,8604,202,260,0.9425523145778667
m0r_faithful_control,2+3,2000,scar,26,0.8723581169822072,1.855129232092972,6.997642083073334,0.8665424748589587,0.8892279964766721,1.0,1.0,1,83,556,9275,38,33,1.0458272707889955
m0r_faithful_control,2+3,2000,pure_edema,26,0.7592317533143865,4.152209584519833,10.714899520413013,0.758449167882267,0.773957723445922,0.6048820711716639,0.45793561555403656,6,209,681,9465,168,260,1.0416722479252014
m0r_faithful_control,2+3,2500,scar,26,0.881330950750905,3.6523535877158224,6.231708574419366,0.885748041502208,0.884538534617088,1.0,1.0,2,84,541,7410,34,33,1.011743299456474
m0r_faithful_control,2+3,2500,pure_edema,26,0.7783660881082693,3.432574479261573,9.083478096292815,0.7925909906248012,0.7779109315144923,0.6071430643263223,0.4613362003493583,2,2,722,7968,163,260,0.9997371855304708
m0r_faithful_control,2+3,3000,scar,26,0.8853520854311032,1.5506578255562888,6.106439508069371,0.8955249563581571,0.8823742428979197,1.0,1.0,1,41,512,6747,37,33,0.9969010684226536
m0r_faithful_control,2+3,3000,pure_edema,26,0.7883025968293793,2.6134083150075957,9.05106145595041,0.7902175200946234,0.7973557546685015,0.634346253294217,0.5004078377762589,2,9,753,8030,165,260,1.0231956090904772
m0r_faithful_control,2+3,3500,scar,26,0.8882809226933206,1.4803600615012416,3.805019880470165,0.8901806521345912,0.8934501135877286,1.0,1.0,0,0,534,7130,31,33,1.0162456536298756
m0r_faithful_control,2+3,3500,pure_edema,26,0.7914838627185604,2.6632891213509584,9.048282280465498,0.7950138169171351,0.7988542409112817,0.6308769661710838,0.48982197919040027,1,1,763,8216,163,260,1.0186178670380612
m0r_faithful_control,2+3,4000,scar,26,0.8880896785365907,1.5141446851753821,3.7829560863415663,0.8933461991486884,0.8899013655868757,1.0,1.0,0,0,508,6960,35,33,1.0082100629040438
m0r_faithful_control,2+3,4000,pure_edema,26,0.7919755484211206,2.591739339276624,8.449428073590381,0.7978442440125046,0.7966863307270786,0.6258256261084315,0.4849356155540366,1,1,735,7793,173,260,1.0120679528005068
