variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_light_refine_lowmix,1,anatomy_scale0,0,0.1357235610485077,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale0,1,0.1333581805229187,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale0,2,0.15820562839508057,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale0,3,0.12654417753219604,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale0,4,0.17078262567520142,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale0,5,0.1026325449347496,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale0,6,0.1727532595396042,Case3022
srr_v2_light_refine_lowmix,1,scar_scale0,0,0.12196991592645645,Case3022
srr_v2_light_refine_lowmix,1,scar_scale0,1,0.15945690870285034,Case3022
srr_v2_light_refine_lowmix,1,scar_scale0,2,0.16064149141311646,Case3022
srr_v2_light_refine_lowmix,1,scar_scale0,3,0.16965651512145996,Case3022
srr_v2_light_refine_lowmix,1,scar_scale0,4,0.11878664791584015,Case3022
srr_v2_light_refine_lowmix,1,scar_scale0,5,0.1270773857831955,Case3022
srr_v2_light_refine_lowmix,1,scar_scale0,6,0.14241115748882294,Case3022
srr_v2_light_refine_lowmix,1,edema_scale0,0,0.14561855792999268,Case3022
srr_v2_light_refine_lowmix,1,edema_scale0,1,0.13057072460651398,Case3022
srr_v2_light_refine_lowmix,1,edema_scale0,2,0.12650974094867706,Case3022
srr_v2_light_refine_lowmix,1,edema_scale0,3,0.16464312374591827,Case3022
srr_v2_light_refine_lowmix,1,edema_scale0,4,0.13810966908931732,Case3022
srr_v2_light_refine_lowmix,1,edema_scale0,5,0.20479275286197662,Case3022
srr_v2_light_refine_lowmix,1,edema_scale0,6,0.08975546807050705,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale1,0,0.1424834430217743,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale1,1,0.17366452515125275,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale1,2,0.1334417313337326,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale1,3,0.14092491567134857,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale1,4,0.13397713005542755,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale1,5,0.11275631934404373,Case3022
srr_v2_light_refine_lowmix,1,anatomy_scale1,6,0.1627519726753235,Case3022
srr_v2_light_refine_lowmix,1,scar_scale1,0,0.1307910680770874,Case3022
srr_v2_light_refine_lowmix,1,scar_scale1,1,0.19686183333396912,Case3022
srr_v2_light_refine_lowmix,1,scar_scale1,2,0.12934471666812897,Case3022
srr_v2_light_refine_lowmix,1,scar_scale1,3,0.11733382195234299,Case3022
srr_v2_light_refine_lowmix,1,scar_scale1,4,0.08746270090341568,Case3022
srr_v2_light_refine_lowmix,1,scar_scale1,5,0.13647618889808655,Case3022
srr_v2_light_refine_lowmix,1,scar_scale1,6,0.20172971487045288,Case3022
srr_v2_light_refine_lowmix,1,edema_scale1,0,0.1376362442970276,Case3022
srr_v2_light_refine_lowmix,1,edema_scale1,1,0.14827284216880798,Case3022
srr_v2_light_refine_lowmix,1,edema_scale1,2,0.10733258724212646,Case3022
