variant,step,task,expert_index,mean_weight,batch_cases
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale0,0,0.2299560010433197,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale0,1,0.22760747373104095,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale0,2,0.27331486344337463,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale0,3,0.2691216468811035,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale0,0,0.2511562705039978,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale0,1,0.2632347345352173,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale0,2,0.1982104331254959,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale0,3,0.2873985767364502,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale0,0,0.21622389554977417,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale0,1,0.22563648223876953,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale0,2,0.2634478807449341,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale0,3,0.294691801071167,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale1,0,0.2034573256969452,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale1,1,0.18237529695034027,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale1,2,0.2799256443977356,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale1,3,0.33424174785614014,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale1,0,0.3171723783016205,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale1,1,0.25830915570259094,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale1,2,0.20690974593162537,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale1,3,0.21760870516300201,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale1,0,0.22094210982322693,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale1,1,0.23519378900527954,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale1,2,0.2364220917224884,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale1,3,0.3074420392513275,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale2,0,0.2778202295303345,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale2,1,0.2948295772075653,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale2,2,0.23603235185146332,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,anatomy_scale2,3,0.1913178414106369,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale2,0,0.27780768275260925,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale2,1,0.24305011332035065,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale2,2,0.24100464582443237,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,scar_scale2,3,0.23813755810260773,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale2,0,0.18740206956863403,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale2,1,0.3501647114753723,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale2,2,0.2600574195384979,Case2024
srr_v2_capacity12_scar_precision_nointeract,1,edema_scale2,3,0.20237581431865692,Case2024
srr_v2_capacity12_scar_precision_nointeract,250,anatomy_scale0,0,0.20704996585845947,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,anatomy_scale0,1,0.20121487975120544,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,anatomy_scale0,2,0.25412699580192566,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,anatomy_scale0,3,0.33760809898376465,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,scar_scale0,0,0.23902031779289246,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,scar_scale0,1,0.26825353503227234,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,scar_scale0,2,0.22815252840518951,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,scar_scale0,3,0.2645736634731293,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,edema_scale0,0,0.20898522436618805,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,edema_scale0,1,0.20993255078792572,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,edema_scale0,2,0.332645982503891,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,edema_scale0,3,0.24843622744083405,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,anatomy_scale1,0,0.17882196605205536,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,anatomy_scale1,1,0.1850094348192215,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,anatomy_scale1,2,0.1991806924343109,Case2012
srr_v2_capacity12_scar_precision_nointeract,250,anatomy_scale1,3,0.43698790669441223,Case2012
