variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,all_cases,44,0.692776426668762,63.361863094121894,48.85656152802183,11.545454545454545,8.113636363636363,0.6363636363636364
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,gt_positive_only,16,0.15513517333909566,174.2451235088352,134.35554420206003,31.75,22.3125,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,t2_present,16,0.15513517333909566,174.2451235088352,134.35554420206003,31.75,22.3125,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,complete_modality,16,0.15513517333909566,174.2451235088352,134.35554420206003,31.75,22.3125,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,CenterB,7,0.3283819970945488,159.1659420041732,106.53801928220169,20.428571428571427,9.714285714285714,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,CenterC,9,0.02038764375152101,185.97337579023898,155.99139691750543,40.55555555555556,32.111111111111114,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,C0+LGE,4,1.0,0.0,0.0,0.0,0.0,1.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,LGE-only,24,1.0,0.0,0.0,0.0,0.0,1.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,no_T2_empty_GT,28,1.0,0.0,0.0,0.0,0.0,1.0
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,all_cases,44,0.24739216286759713,132.46708198955344,83.12905423557427,20.045454545454547,10.954545454545455,0.045454545454545456
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,gt_positive_only,43,0.25314546898079704,132.46708198955344,83.12905423557427,20.372093023255815,11.069767441860465,0.046511627906976744
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,t2_present,16,0.2840461410447722,140.75693860304716,101.49210629787437,24.875,18.375,0.0
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,complete_modality,16,0.2840461410447722,140.75693860304716,101.49210629787437,24.875,18.375,0.0
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,CenterB,7,0.3461793825038531,126.02361009242038,75.63585918001465,8.714285714285714,4.857142857142857,0.0
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,CenterC,9,0.2357202865765982,152.21619411131246,121.60252072287638,37.44444444444444,28.88888888888889,0.0
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,C0+LGE,4,0.05216098357316051,60.74931891149122,52.70013518045127,4.75,1.5,0.0
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,LGE-only,24,0.25549470729855317,136.21779032674831,73.92350533414552,19.375,7.583333333333333,0.08333333333333333
srr_v2_proposal_uncertainty_hardneg,5,myops_scar,no_T2_empty_GT,1,0.0,,,6.0,6.0,0.0
